"customer_ID","total_bill","female","male","smoker","non_smoker","tip"
1,20.53,0,1,1,0,4
2,21.7,0,1,NA,NA,4.3
3,19.65,1,0,0,1,3
4,20.9,1,0,1,0,3.5
5,11.02,0,1,1,0,1.98
6,18.69,0,1,0,1,2.31
7,25,1,0,0,1,3.75
8,10.33,1,0,0,1,1.67
9,10.34,0,1,0,1,1.66
10,16.31,0,1,0,1,2
11,16,0,1,1,0,2
12,27.28,0,1,1,0,4
13,13.81,0,1,0,1,2
14,15.53,0,1,1,0,3
15,12.48,1,0,0,1,2.52
16,12.76,1,0,1,0,2.23
17,17.51,1,0,1,0,3
18,7.56,0,1,NA,NA,1.44
19,14.48,0,1,1,0,2
20,30.46,0,1,1,0,2
21,21.01,0,1,0,1,3.5
22,15.01,0,1,1,0,2.09
23,35.83,1,0,0,1,4.67
24,19.82,0,1,0,1,3.18
25,48.33,0,1,0,1,9
26,13.42,0,1,1,0,1.58
27,31.71,0,1,0,1,4.5
28,7.74,0,1,1,0,1.44
29,14,0,1,0,1,3
30,26.86,1,0,1,0,3.14
31,27.2,0,1,0,1,4
32,13.42,1,0,1,0,3.48
33,31.27,0,1,0,1,5
34,12.6,0,1,1,0,1
35,8.52,0,1,0,1,1.48
36,34.83,1,0,0,1,5.17
37,13.03,0,1,0,1,2
38,12.43,1,0,0,1,1.8
39,20.69,1,0,0,1,2.45
40,21.16,0,1,0,1,3
41,17.82,0,1,0,1,1.75
42,10.29,1,0,0,1,2.6
43,22.12,1,0,1,0,2.88
44,20.65,0,1,0,1,3.35
45,12.74,1,0,1,0,2.01
46,19.44,0,1,1,0,3
47,10.34,0,1,1,0,2
48,10.33,1,0,0,1,2
49,18.64,1,0,0,1,1.36
50,17.26,0,1,0,1,2.74
51,48.27,0,1,0,1,6.73
52,15.38,1,0,1,0,3
53,34.63,0,1,1,0,3.55
54,44.3,1,0,1,0,2.5
55,20.45,0,1,0,1,3
56,10.63,1,0,1,0,2
57,28.15,0,1,1,0,3
58,15.36,0,1,1,0,1.64
59,17.92,0,1,0,1,4.08
60,45.35,0,1,1,0,3.5
61,24.71,0,1,0,1,5.85
62,20.92,1,0,0,1,4.08
63,21.58,0,1,0,1,3.92
64,11.38,1,0,0,1,2
65,31.85,0,1,1,0,3.18
66,23.17,0,1,1,0,6.5
67,9.6,1,0,1,0,4
68,30.14,1,0,1,0,3.09
69,21.5,0,1,0,1,3.5
70,15.81,0,1,1,0,3.16
71,16.49,0,1,0,1,2
72,38.07,0,1,0,1,4
73,17.07,1,0,0,1,3
74,16.4,1,0,1,0,2.5
75,21.01,0,1,1,0,3
76,20.08,0,1,0,1,3.15
77,28.97,0,1,1,0,3
78,15.48,0,1,1,0,2.02
79,17.59,0,1,0,1,2.64
80,20.27,1,0,0,1,2.83
81,15.77,1,0,NA,NA,2.23
82,30.4,0,1,0,1,5.6
83,10.59,1,0,1,0,1.61
84,34.81,1,0,0,1,5.2
85,8.35,1,0,0,1,1.5
86,15.69,0,1,1,0,3
87,13.37,0,1,0,1,2
88,18.26,1,0,0,1,3.25
89,24.27,0,1,1,0,2.03
90,19.77,0,1,0,1,2
91,15.06,1,0,0,1,3
92,41.19,0,1,0,1,5
93,35.26,1,0,0,1,5
94,15.77,1,0,0,1,2.23
95,14.78,0,1,0,1,3.23
96,16.97,1,0,0,1,3.5
97,15.95,0,1,0,1,2
98,17.81,0,1,0,1,2.34
99,20.69,0,1,0,1,5
100,17.47,1,0,0,1,3.5
101,10.51,0,1,0,1,1.25
102,14.52,1,0,0,1,2
103,20.76,0,1,0,1,2.24
104,19.81,1,0,1,0,4.19
105,23.68,0,1,0,1,3.31
106,32.68,0,1,1,0,5
107,10.65,1,0,0,1,1.5
108,17.78,0,1,0,1,3.27
109,19.49,0,1,0,1,3.51
110,27.05,1,0,0,1,5
111,28.17,1,0,1,0,6.5
112,29.03,0,1,0,1,5.92
113,13.28,0,1,0,1,2.72
114,29.85,1,0,0,1,5.14
115,18.04,0,1,0,1,3
116,11.87,1,0,0,1,1.63
117,16.45,1,0,0,1,2.47
118,8.58,0,1,1,0,1.92
119,34.65,0,1,1,0,3.68
